skills,education,interests,experience,career
numpy git statistics linux pandas machine learning,BTech CSE,machine learning,3,Data Scientist
pandas numpy data visualization aws,BSc Statistics,machine learning,7,Data Scientist
data visualization numpy statistics linux sql pandas,MSc Data Science,research,1,Data Scientist
python data visualization numpy statistics problem solving sql pandas machine learning,BTech CSE,problem solving,5,Data Scientist
python numpy statistics communication sql pandas machine learning,MCA,innovation,5,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BTech CSE,problem solving,2,Data Scientist
python data visualization numpy git statistics sql machine learning,BSc Statistics,technology,7,Data Scientist
python numpy machine learning statistics,BTech CSE,ai,6,Data Scientist
python data visualization numpy git statistics linux pandas,BSc Statistics,data analytics,1,Data Scientist
python data visualization numpy statistics communication sql pandas machine learning,BSc Statistics,technology,1,Data Scientist
python data visualization numpy aws problem solving pandas machine learning,MSc Data Science,data analytics,2,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BSc Statistics,problem solving,6,Data Scientist
python aws problem solving statistics sql,MSc Data Science,problem solving,3,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BTech CSE,innovation,7,Data Scientist
python numpy git sql pandas,BTech CSE,research,4,Data Scientist
python data visualization statistics linux sql pandas,BTech CSE,innovation,8,Data Scientist
data visualization statistics communication sql pandas,MSc Data Science,machine learning,3,Data Scientist
python data visualization numpy statistics sql pandas machine learning,MCA,innovation,4,Data Scientist
statistics docker sql pandas machine learning,MCA,ai,5,Data Scientist
python data visualization numpy statistics communication sql pandas machine learning,BTech CSE,technology,2,Data Scientist
python numpy statistics problem solving sql pandas,BSc Statistics,innovation,6,Data Scientist
python data visualization numpy statistics linux sql machine learning,BTech CSE,technology,7,Data Scientist
python data visualization numpy statistics sql pandas,MCA,data analytics,4,Data Scientist
python numpy sql pandas machine learning,BTech CSE,innovation,7,Data Scientist
numpy git statistics docker sql pandas machine learning,BTech CSE,ai,2,Data Scientist
sql data visualization numpy,BTech CSE,ai,4,Data Scientist
sql data visualization machine learning statistics,MCA,machine learning,4,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BTech CSE,data analytics,1,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BSc Statistics,ai,3,Data Scientist
python data visualization numpy statistics sql pandas,BTech CSE,data analytics,8,Data Scientist
python pandas data visualization statistics,BTech CSE,data analytics,7,Data Scientist
pandas numpy data visualization machine learning,MSc Data Science,machine learning,5,Data Scientist
python data visualization statistics problem solving communication sql pandas machine learning,MCA,data analytics,7,Data Scientist
python statistics problem solving sql pandas machine learning,BTech CSE,innovation,4,Data Scientist
statistics linux docker sql pandas machine learning,MCA,research,6,Data Scientist
python numpy statistics sql machine learning,MCA,research,8,Data Scientist
python data visualization git statistics sql machine learning,MCA,research,8,Data Scientist
data visualization numpy statistics sql pandas machine learning,BTech CSE,ai,5,Data Scientist
python data visualization numpy pandas machine learning,BSc Statistics,ai,6,Data Scientist
python data visualization numpy aws statistics pandas machine learning,MSc Data Science,research,6,Data Scientist
python data visualization numpy statistics linux sql pandas machine learning,MCA,data analytics,5,Data Scientist
python data visualization numpy statistics sql,BSc Statistics,research,8,Data Scientist
python data visualization numpy statistics docker sql pandas,BTech CSE,data analytics,1,Data Scientist
sql data visualization numpy,MSc Data Science,innovation,5,Data Scientist
python data visualization numpy statistics communication docker sql pandas machine learning,BSc Statistics,ai,6,Data Scientist
python data visualization statistics sql pandas machine learning,MCA,research,1,Data Scientist
sql python machine learning aws,BTech CSE,research,0,Data Scientist
python data visualization numpy git sql pandas,BSc Statistics,innovation,0,Data Scientist
python data visualization numpy statistics linux communication sql pandas machine learning,BTech CSE,innovation,8,Data Scientist
python data visualization statistics sql machine learning,BTech CSE,problem solving,6,Data Scientist
python data visualization numpy statistics problem solving docker sql pandas machine learning,MCA,research,2,Data Scientist
data visualization numpy statistics problem solving sql pandas,MCA,research,4,Data Scientist
python numpy statistics sql pandas machine learning,MSc Data Science,problem solving,3,Data Scientist
python data visualization numpy statistics sql pandas machine learning,MCA,data analytics,2,Data Scientist
python data visualization numpy statistics sql pandas machine learning,MCA,innovation,4,Data Scientist
python data visualization numpy statistics sql pandas machine learning,BTech CSE,problem solving,6,Data Scientist
python data visualization numpy statistics problem solving docker sql pandas machine learning,BSc Statistics,machine learning,4,Data Scientist
python numpy aws statistics pandas machine learning,MCA,machine learning,7,Data Scientist
python data visualization numpy statistics linux sql machine learning,MSc Data Science,machine learning,4,Data Scientist
python numpy statistics sql machine learning,BTech CSE,machine learning,2,Data Scientist
sql machine learning statistics,BTech CSE,research,7,Data Scientist
python pandas machine learning docker,MSc Data Science,research,7,Data Scientist
python numpy docker pandas machine learning,BTech CSE,technology,1,Data Scientist
python data visualization numpy statistics sql,BTech CSE,innovation,2,Data Scientist
sql pandas numpy machine learning,BTech CSE,problem solving,3,Data Scientist
numpy statistics sql pandas machine learning,BTech CSE,technology,5,Data Scientist
python pandas numpy,BTech CSE,technology,8,Data Scientist
